2018-07-05 13:27:29,589 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 15:48:26,990 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 15:50:03,083 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 15:57:40,677 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 15:58:28,177 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 16:00:13,669 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 16:02:06,893 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 16:06:51,737 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 16:07:35,755 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 16:13:59,756 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 16:17:42,566 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 17:14:41,092 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 17:19:28,560 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 17:21:12,712 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 21:17:53,009 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 21:25:28,797 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 21:28:26,551 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 21:48:00,741 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 21:49:53,514 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 21:53:00,470 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 21:55:45,485 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 22:25:46,838 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 22:32:00,325 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 22:45:54,350 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 22:47:38,794 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 22:54:04,512 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 22:56:22,285 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 22:59:38,171 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 23:00:12,778 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 23:06:14,641 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 23:21:26,577 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-05 23:45:58,943 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-06 20:01:06,715 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-06 23:25:42,530 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-07 10:02:53,179 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-07 15:39:05,369 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-07 15:47:22,375 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-07 15:55:09,087 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-07 16:12:41,208 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-07 21:29:06,581 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-07 21:38:41,414 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-08 10:54:56,389 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-08 12:05:56,578 [56] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-09 18:01:24,443 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-09 19:59:42,912 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-09 20:09:17,283 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-09 21:40:03,385 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-09 23:00:17,883 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-09 23:20:12,297 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-10 19:55:09,961 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-10 21:25:13,770 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-10 21:26:14,947 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-10 21:26:45,752 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-10 22:08:06,580 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-13 08:36:04,405 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-14 08:08:25,076 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-14 10:08:26,243 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-14 10:22:15,197 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-14 10:42:35,038 [1] DEBUG BWC.Core.Common.LogManager - Application start
2018-07-14 12:01:54,899 [1] DEBUG BWC.Core.Common.LogManager - Application start
